match_id,start_date,venue,team_1,team_2,winner,toss_winner,toss_decision
1020037,2017-03-01,Seddon Park,New Zealand,South Africa,New Zealand,South Africa,bat
1020039,2017-03-04,Eden Park,New Zealand,South Africa,South Africa,South Africa,field
1022347,2017-06-01,Kennington Oval,England,Bangladesh,England,England,field
1022349,2017-06-02,Edgbaston,Australia,New Zealand,No Result,New Zealand,bat
1022351,2017-06-03,Kennington Oval,South Africa,Sri Lanka,South Africa,Sri Lanka,field
1022353,2017-06-04,Edgbaston,India,Pakistan,India,Pakistan,field
1022355,2017-06-05,Kennington Oval,Australia,Bangladesh,No Result,Bangladesh,bat
1022357,2017-06-06,Sophia Gardens,England,New Zealand,England,New Zealand,field
1022359,2017-06-07,Edgbaston,Pakistan,South Africa,Pakistan,South Africa,bat
1022361,2017-06-08,Kennington Oval,India,Sri Lanka,Sri Lanka,Sri Lanka,field
1022363,2017-06-09,Sophia Gardens,Bangladesh,New Zealand,Bangladesh,New Zealand,bat
1022365,2017-06-10,Edgbaston,England,Australia,England,England,field
1022367,2017-06-11,Kennington Oval,India,South Africa,India,India,field
1022369,2017-06-12,Sophia Gardens,Pakistan,Sri Lanka,Pakistan,Pakistan,field
1022371,2017-06-14,Sophia Gardens,England,Pakistan,Pakistan,Pakistan,field
1022373,2017-06-15,Edgbaston,Bangladesh,India,India,India,field
1022375,2017-06-18,Kennington Oval,India,Pakistan,Pakistan,India,field
1026847,2016-11-04,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,Hong Kong,Hong Kong,bat
1026849,2016-11-06,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,Papua New Guinea,Papua New Guinea,bat
1026851,2016-11-08,"Mission Road Ground, Mong Kok",Hong Kong,Papua New Guinea,Hong Kong,Papua New Guinea,bat
1027315,2017-03-03,"Sir Vivian Richards Stadium, North Sound",West Indies,England,England,West Indies,field
1027317,2017-03-05,"Sir Vivian Richards Stadium, North Sound",West Indies,England,England,West Indies,bat
1027319,2017-03-09,"Kensington Oval, Bridgetown",West Indies,England,England,West Indies,field
1029001,2017-05-05,County Ground,England,Ireland,England,Ireland,bat
1029003,2017-05-07,Lord's,England,Ireland,England,Ireland,field
1029819,2016-10-07,Shere Bangla National Stadium,Bangladesh,England,England,England,bat
1029821,2016-10-09,Shere Bangla National Stadium,Bangladesh,England,Bangladesh,England,field
1029823,2016-10-12,Zahur Ahmed Chowdhury Stadium,Bangladesh,England,England,England,field
1030219,2016-10-16,Himachal Pradesh Cricket Association Stadium,India,New Zealand,India,India,field
1030221,2016-10-20,Feroz Shah Kotla,India,New Zealand,New Zealand,India,field
1030223,2016-10-23,"Punjab Cricket Association Stadium, Mohali",India,New Zealand,India,India,field
1030225,2016-10-26,JSCA International Stadium Complex,India,New Zealand,New Zealand,New Zealand,bat
1030227,2016-10-29,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,India,New Zealand,India,India,bat
1031425,2017-05-24,Headingley,England,South Africa,England,South Africa,field
1031427,2017-05-27,The Rose Bowl,England,South Africa,England,South Africa,field
1031429,2017-05-29,Lord's,England,South Africa,South Africa,South Africa,field
1031667,2017-09-19,Old Trafford,West Indies,England,England,West Indies,bat
1031669,2017-09-21,Trent Bridge,England,West Indies,No Result,West Indies,field
1031671,2017-09-24,County Ground,England,West Indies,England,West Indies,field
1031673,2017-09-27,Kennington Oval,West Indies,England,England,England,field
1031675,2017-09-29,The Rose Bowl,West Indies,England,England,England,field
1033361,2017-05-12,Malahide,Ireland,Bangladesh,No Result,Ireland,field
1033363,2017-05-14,Malahide,Ireland,New Zealand,New Zealand,Ireland,field
