player,team
MN Samuels,West Indies
MN Waller,Zimbabwe
MN van Wyk,South Africa
MNK Fernando,Sri Lanka
MO Jones,Bermuda
MO Odumbe,Kenya
MP Breetzke,South Africa
MP Kuhnemann,Australia
MP O'Dowd,Netherlands
MP Stoinis,Australia
MP Vaughan,England
MQ Sheikh,Scotland
MR Adair,Ireland
MR Gillespie,New Zealand
MR Johnson,United States of America
MR Marsh,Australia
MR Swart,Netherlands
MRJ Watt,Scotland
MS Atapattu,Sri Lanka
MS Chapman,New Zealand
MS Dhoni,India
MS Kasprowicz,Australia
MS Panesar,England
MS Sinclair,New Zealand
MS Tshabalala,South Africa
MS Wade,Australia
